Module,Filepath,Lines%,Branches%,Functions%,Statements%,Severity
components (src/app/modules/application/components),src/app/modules/application/components/smartphone/smartphone.ts,0,0,0,0,High
movies-images-list (src/app/modules/application/movies-images-list),src/app/modules/application/movies-images-list/config/config.ts,0,0,100,0,High
movies-images-list (src/app/modules/application/movies-images-list),src/app/modules/application/movies-images-list/page-list/params.ts,0,0,100,0,High
pagination (src/app/modules/application/movies-images-list/pagination),src/app/modules/application/movies-images-list/pagination/pagination.ts,0,0,100,0,High
services (src/app/modules/application/services),src/app/modules/application/services/song/song.ts,0,0,0,0,High
template-driven-forms (src/app/modules/application/template-driven-forms),src/app/modules/application/template-driven-forms/movie.ts,0,0,0,0,High
pagination (src/app/modules/application/movies-images-list/pagination),src/app/modules/application/movies-images-list/pagination/pagination.service.ts,2.38,0,33.33,2.38,High
services (src/app/modules/application/services),src/app/modules/application/services/safe.pipe.ts,33.33,0,0,33.33,Medium
components (src/app/modules/application/components),src/app/modules/application/components/components.component.ts,50,0,50,50,Medium
pagination (src/app/modules/application/movies-images-list/pagination),src/app/modules/application/movies-images-list/pagination/pagination.component.ts,58.33,0,50,58.33,Medium
movies-images-list (src/app/modules/application/movies-images-list),src/app/modules/application/movies-images-list/page-list/page-list.component.ts,58.62,35.71,53.85,58.62,Medium
items (src/app/modules/application/items),src/app/modules/application/items/items.component.ts,60,25,60,60,Medium
services (src/app/modules/application/services),src/app/modules/application/services/services.component.ts,60,0,60,60,Medium
movies-images-list (src/app/modules/application/movies-images-list),src/app/modules/application/movies-images-list/items/items.service.ts,63.08,41.3,56.25,63.08,Medium
components (src/app/modules/application/components),src/app/modules/application/components/smartphone/smartphone.component.ts,80,0,66.67,80,Low
grid-images (src/app/modules/application/movies-images-list/grid-images),src/app/modules/application/movies-images-list/grid-images/grid-images.component.ts,87.5,0,0,87.5,Low
search-bar (src/app/modules/application/movies-images-list/search-bar),src/app/modules/application/movies-images-list/search-bar/search-bar.component.ts,88.89,0,50,88.89,Low
movies-images-list (src/app/modules/application/movies-images-list),src/app/modules/application/movies-images-list/movies-images-list.component.ts,95.24,0,75,95.24,Low
about (src/app/modules/general/about),src/app/modules/general/about/about.component.ts,100,0,100,100,Low
app (src/app),src/app/app.component.ts,100,0,100,100,Low
app (src/app),src/app/modules/general/home/home.component.ts,100,0,100,100,Low
app (src/app),src/app/modules/general/not-found/not-found.component.ts,100,0,100,100,Low
chartjs (src/app/modules/application/chartjs),src/app/modules/application/chartjs/chartjs.component.ts,100,0,100,100,Low
contact (src/app/modules/general/contact),src/app/modules/general/contact/contact.component.ts,100,0,100,100,Low
items (src/app/modules/application/items),src/app/modules/application/items/items.service.ts,100,0,100,100,Low
leaflet-feature (src/app/modules/application/leaflet-feature),src/app/modules/application/leaflet-feature/leaflet-feature.component.ts,100,0,100,100,Low
movies-images-list (src/app/modules/application/movies-images-list),src/app/modules/application/movies-images-list/config/config.service.ts,100,0,100,100,Low
search-result (src/app/modules/application/movies-images-list/search-result),src/app/modules/application/movies-images-list/search-result/search-result.component.ts,100,0,100,100,Low
services (src/app/modules/application/services),src/app/modules/application/services/song/mock-songs.ts,100,0,0,100,Low
services (src/app/modules/application/services),src/app/modules/application/services/song/song.service.ts,100,0,100,100,Low
signin (src/app/modules/general/signin),src/app/modules/general/signin/signin.component.ts,100,0,100,100,Low
template-driven-forms (src/app/modules/application/template-driven-forms),src/app/modules/application/template-driven-forms/template-driven-forms.component.ts,100,0,100,100,Low
